,group_of_words,dates,frequencies
10,"('doctor',)","[datetime.date(2020, 7, 24), datetime.date(2020, 7, 28)]","[0.01694915254237288, 0.025333333333333333]"
11,"('case',)","[datetime.date(2020, 7, 24), datetime.date(2020, 7, 25), datetime.date(2020, 7, 26), datetime.date(2020, 7, 27), datetime.date(2020, 7, 28), datetime.date(2020, 7, 29), datetime.date(2020, 7, 30), datetime.date(2020, 7, 31), datetime.date(2020, 8, 1), datetime.date(2020, 8, 2), datetime.date(2020, 8, 4), datetime.date(2020, 8, 6), datetime.date(2020, 8, 7), datetime.date(2020, 8, 8), datetime.date(2020, 8, 9), datetime.date(2020, 8, 10), datetime.date(2020, 8, 11), datetime.date(2020, 8, 12), datetime.date(2020, 8, 13), datetime.date(2020, 8, 14), datetime.date(2020, 8, 16), datetime.date(2020, 8, 17), datetime.date(2020, 8, 18), datetime.date(2020, 8, 22), datetime.date(2020, 8, 29), datetime.date(2020, 8, 30)]","[0.0576271186440678, 0.10639180143356436, 0.1384, 0.1132, 0.09226666666666666, 0.06115107913669065, 0.05707070707070707, 0.06573333333333334, 0.08266666666666667, 0.08173333333333334, 0.09053333333333333, 0.07831993346271139, 0.06792452830188679, 0.09786666666666667, 0.12146666666666667, 0.08096503782457574, 0.07466666666666667, 0.09426666666666667, 0.078, 0.1012, 0.10893333333333333, 0.10573333333333333, 0.07826666666666666, 0.10739939420164431, 0.11037527593818984, 0.13826865671641791]"
12,"('know',)","[datetime.date(2020, 7, 24), datetime.date(2020, 7, 25), datetime.date(2020, 7, 26), datetime.date(2020, 7, 27), datetime.date(2020, 7, 28), datetime.date(2020, 7, 29), datetime.date(2020, 7, 30), datetime.date(2020, 7, 31), datetime.date(2020, 8, 1), datetime.date(2020, 8, 2), datetime.date(2020, 8, 4), datetime.date(2020, 8, 6), datetime.date(2020, 8, 7), datetime.date(2020, 8, 8), datetime.date(2020, 8, 9), datetime.date(2020, 8, 10), datetime.date(2020, 8, 11), datetime.date(2020, 8, 12), datetime.date(2020, 8, 13), datetime.date(2020, 8, 14), datetime.date(2020, 8, 16), datetime.date(2020, 8, 17), datetime.date(2020, 8, 18), datetime.date(2020, 8, 22), datetime.date(2020, 8, 29), datetime.date(2020, 8, 30)]","[0.023728813559322035, 0.016112789526686808, 0.016933333333333335, 0.016666666666666666, 0.016266666666666665, 0.02050359712230216, 0.023737373737373738, 0.019733333333333332, 0.021466666666666665, 0.021466666666666665, 0.0184, 0.019268089825339618, 0.026415094339622643, 0.017733333333333334, 0.0192, 0.02126354528726232, 0.016, 0.019333333333333334, 0.015733333333333332, 0.018266666666666667, 0.018933333333333333, 0.018266666666666667, 0.018933333333333333, 0.020250973604500216, 0.02207505518763797, 0.018865671641791044]"
13,"('home',)","[datetime.date(2020, 7, 24), datetime.date(2020, 7, 25), datetime.date(2020, 7, 29), datetime.date(2020, 8, 2), datetime.date(2020, 8, 6), datetime.date(2020, 8, 7), datetime.date(2020, 8, 9), datetime.date(2020, 8, 12), datetime.date(2020, 8, 13), datetime.date(2020, 8, 14), datetime.date(2020, 8, 17), datetime.date(2020, 8, 18)]","[0.030508474576271188, 0.017652982643208342, 0.01618705035971223, 0.022933333333333333, 0.016218464097588023, 0.016037735849056604, 0.0296, 0.015866666666666668, 0.016, 0.016133333333333333, 0.016666666666666666, 0.018266666666666667]"
14,"('pleas',)","[datetime.date(2020, 7, 24), datetime.date(2020, 7, 26), datetime.date(2020, 7, 28), datetime.date(2020, 7, 30), datetime.date(2020, 7, 31), datetime.date(2020, 8, 7), datetime.date(2020, 8, 13), datetime.date(2020, 8, 22)]","[0.020338983050847456, 0.0168, 0.0168, 0.017676767676767676, 0.019466666666666667, 0.016981132075471698, 0.015733333333333332, 0.01549112938122025]"
15,"('watch',)","[datetime.date(2020, 7, 24), datetime.date(2020, 7, 28)]","[0.01694915254237288, 0.015466666666666667]"
16,"('death',)","[datetime.date(2020, 7, 24), datetime.date(2020, 7, 25), datetime.date(2020, 7, 26), datetime.date(2020, 7, 27), datetime.date(2020, 7, 28), datetime.date(2020, 7, 29), datetime.date(2020, 7, 30), datetime.date(2020, 7, 31), datetime.date(2020, 8, 1), datetime.date(2020, 8, 2), datetime.date(2020, 8, 4), datetime.date(2020, 8, 6), datetime.date(2020, 8, 7), datetime.date(2020, 8, 8), datetime.date(2020, 8, 9), datetime.date(2020, 8, 10), datetime.date(2020, 8, 11), datetime.date(2020, 8, 12), datetime.date(2020, 8, 13), datetime.date(2020, 8, 14), datetime.date(2020, 8, 16), datetime.date(2020, 8, 17), datetime.date(2020, 8, 18), datetime.date(2020, 8, 22), datetime.date(2020, 8, 29), datetime.date(2020, 8, 30)]","[0.061016949152542375, 0.051951898584207096, 0.07186666666666666, 0.058, 0.04933333333333333, 0.04136690647482014, 0.047979797979797977, 0.03613333333333334, 0.05346666666666667, 0.05293333333333333, 0.058133333333333335, 0.04491266980870529, 0.04716981132075472, 0.0548, 0.0592, 0.04804743406256389, 0.0292, 0.048666666666666664, 0.0416, 0.05506666666666667, 0.06866666666666667, 0.06306666666666666, 0.047066666666666666, 0.057118130679359586, 0.08020603384841796, 0.07976119402985074]"
17,"('well',)","[datetime.date(2020, 7, 24), datetime.date(2020, 8, 7)]","[0.020338983050847456, 0.01509433962264151]"
18,"('peopl',)","[datetime.date(2020, 7, 24), datetime.date(2020, 7, 25), datetime.date(2020, 7, 26), datetime.date(2020, 7, 27), datetime.date(2020, 7, 28), datetime.date(2020, 7, 29), datetime.date(2020, 7, 30), datetime.date(2020, 7, 31), datetime.date(2020, 8, 1), datetime.date(2020, 8, 2), datetime.date(2020, 8, 4), datetime.date(2020, 8, 6), datetime.date(2020, 8, 7), datetime.date(2020, 8, 8), datetime.date(2020, 8, 9), datetime.date(2020, 8, 10), datetime.date(2020, 8, 11), datetime.date(2020, 8, 12), datetime.date(2020, 8, 13), datetime.date(2020, 8, 14), datetime.date(2020, 8, 16), datetime.date(2020, 8, 17), datetime.date(2020, 8, 18), datetime.date(2020, 8, 22), datetime.date(2020, 8, 29), datetime.date(2020, 8, 30)]","[0.03728813559322034, 0.05082637284521059, 0.055466666666666664, 0.051866666666666665, 0.0524, 0.048561151079136694, 0.06515151515151515, 0.04853333333333333, 0.06213333333333333, 0.056266666666666666, 0.0472, 0.04283337953978376, 0.04905660377358491, 0.05853333333333333, 0.06253333333333333, 0.04436720507053772, 0.0504, 0.053733333333333334, 0.05226666666666667, 0.046533333333333336, 0.05173333333333333, 0.04613333333333333, 0.0472, 0.05590653396797923, 0.051508462104488596, 0.055044776119402984]"
19,"('amp',)","[datetime.date(2020, 7, 24), datetime.date(2020, 7, 25), datetime.date(2020, 7, 26), datetime.date(2020, 7, 27), datetime.date(2020, 7, 28), datetime.date(2020, 7, 29), datetime.date(2020, 7, 30), datetime.date(2020, 7, 31), datetime.date(2020, 8, 1), datetime.date(2020, 8, 2), datetime.date(2020, 8, 4), datetime.date(2020, 8, 6), datetime.date(2020, 8, 7), datetime.date(2020, 8, 8), datetime.date(2020, 8, 9), datetime.date(2020, 8, 10), datetime.date(2020, 8, 11), datetime.date(2020, 8, 12), datetime.date(2020, 8, 13), datetime.date(2020, 8, 14), datetime.date(2020, 8, 16), datetime.date(2020, 8, 17), datetime.date(2020, 8, 18), datetime.date(2020, 8, 22), datetime.date(2020, 8, 29), datetime.date(2020, 8, 30)]","[0.03389830508474576, 0.06137077187370416, 0.0684, 0.07266666666666667, 0.059333333333333335, 0.06618705035971223, 0.0707070707070707, 0.0752, 0.05773333333333333, 0.062, 0.06666666666666667, 0.07845855281397283, 0.07547169811320754, 0.06706666666666666, 0.0576, 0.06951543651604988, 0.05706666666666667, 0.0668, 0.07546666666666667, 0.07866666666666666, 0.05506666666666667, 0.06146666666666667, 0.06386666666666667, 0.05867589787970576, 0.07407407407407407, 0.06507462686567164]"
20,"('public',)","[datetime.date(2020, 7, 24), datetime.date(2020, 7, 31), datetime.date(2020, 8, 18)]","[0.020338983050847456, 0.015333333333333332, 0.017333333333333333]"
21,"('mask',)","[datetime.date(2020, 7, 24), datetime.date(2020, 7, 25), datetime.date(2020, 7, 26), datetime.date(2020, 7, 27), datetime.date(2020, 7, 28), datetime.date(2020, 7, 29), datetime.date(2020, 7, 30), datetime.date(2020, 7, 31), datetime.date(2020, 8, 1), datetime.date(2020, 8, 2), datetime.date(2020, 8, 4), datetime.date(2020, 8, 6), datetime.date(2020, 8, 7), datetime.date(2020, 8, 8), datetime.date(2020, 8, 9), datetime.date(2020, 8, 10), datetime.date(2020, 8, 11), datetime.date(2020, 8, 12), datetime.date(2020, 8, 13), datetime.date(2020, 8, 14), datetime.date(2020, 8, 16), datetime.date(2020, 8, 17), datetime.date(2020, 8, 18), datetime.date(2020, 8, 22), datetime.date(2020, 8, 29), datetime.date(2020, 8, 30)]","[0.06440677966101695, 0.04401398021444227, 0.044, 0.04133333333333333, 0.031466666666666664, 0.04820143884892086, 0.05, 0.03506666666666667, 0.04133333333333333, 0.0416, 0.0312, 0.03118935403382312, 0.040566037735849055, 0.042, 0.03506666666666667, 0.03414434675935391, 0.03, 0.029066666666666668, 0.028533333333333334, 0.037733333333333334, 0.0272, 0.030933333333333334, 0.0292, 0.02959757680657724, 0.036546480255089525, 0.03319402985074627]"
