,group_of_words,dates,frequencies
65,"('american',)","[datetime.date(2020, 7, 24), datetime.date(2020, 7, 28), datetime.date(2020, 7, 29), datetime.date(2020, 7, 30), datetime.date(2020, 7, 31), datetime.date(2020, 8, 1), datetime.date(2020, 8, 2), datetime.date(2020, 8, 6), datetime.date(2020, 8, 10), datetime.date(2020, 8, 14), datetime.date(2020, 8, 16), datetime.date(2020, 8, 29), datetime.date(2020, 8, 30)]","[0.020338983050847456, 0.0152, 0.015827338129496403, 0.017676767676767676, 0.0164, 0.0196, 0.020666666666666667, 0.01663432215137233, 0.015538744632999387, 0.015066666666666667, 0.019333333333333334, 0.020603384841795438, 0.01564179104477612]"
66,"('confirm',)","[datetime.date(2020, 7, 24), datetime.date(2020, 7, 25), datetime.date(2020, 7, 26), datetime.date(2020, 7, 29), datetime.date(2020, 8, 2), datetime.date(2020, 8, 14), datetime.date(2020, 8, 16), datetime.date(2020, 8, 17), datetime.date(2020, 8, 29), datetime.date(2020, 8, 30)]","[0.01694915254237288, 0.015105740181268883, 0.02, 0.016906474820143885, 0.019066666666666666, 0.015466666666666667, 0.015466666666666667, 0.016933333333333335, 0.02967868530782438, 0.017671641791044777]"
67,"('emerg',)","[datetime.date(2020, 7, 24)]",[0.01694915254237288]
68,"('prepar',)","[datetime.date(2020, 7, 24)]",[0.01694915254237288]
69,"('th',)","[datetime.date(2020, 7, 24), datetime.date(2020, 7, 25), datetime.date(2020, 7, 27), datetime.date(2020, 7, 28), datetime.date(2020, 8, 6), datetime.date(2020, 8, 7), datetime.date(2020, 8, 8), datetime.date(2020, 8, 9), datetime.date(2020, 8, 10), datetime.date(2020, 8, 11), datetime.date(2020, 8, 12), datetime.date(2020, 8, 13), datetime.date(2020, 8, 14), datetime.date(2020, 8, 16), datetime.date(2020, 8, 17), datetime.date(2020, 8, 18), datetime.date(2020, 8, 29), datetime.date(2020, 8, 30)]","[0.020338983050847456, 0.016112789526686808, 0.0184, 0.019733333333333332, 0.017881896312725257, 0.01509433962264151, 0.016133333333333333, 0.018666666666666668, 0.017787773461459825, 0.016133333333333333, 0.016533333333333334, 0.0208, 0.017466666666666665, 0.02266666666666667, 0.018, 0.016133333333333333, 0.017169487368162865, 0.018029850746268658]"
70,"('juli',)","[datetime.date(2020, 7, 24), datetime.date(2020, 7, 25), datetime.date(2020, 7, 26), datetime.date(2020, 7, 27), datetime.date(2020, 7, 28), datetime.date(2020, 7, 29), datetime.date(2020, 7, 31)]","[0.020338983050847456, 0.02736804691665186, 0.029733333333333334, 0.03493333333333333, 0.03333333333333333, 0.018345323741007193, 0.016666666666666666]"
71,"('like',)","[datetime.date(2020, 7, 24), datetime.date(2020, 7, 25), datetime.date(2020, 7, 26), datetime.date(2020, 7, 27), datetime.date(2020, 7, 28), datetime.date(2020, 7, 29), datetime.date(2020, 7, 30), datetime.date(2020, 7, 31), datetime.date(2020, 8, 1), datetime.date(2020, 8, 2), datetime.date(2020, 8, 4), datetime.date(2020, 8, 6), datetime.date(2020, 8, 7), datetime.date(2020, 8, 8), datetime.date(2020, 8, 9), datetime.date(2020, 8, 10), datetime.date(2020, 8, 11), datetime.date(2020, 8, 12), datetime.date(2020, 8, 13), datetime.date(2020, 8, 14), datetime.date(2020, 8, 16), datetime.date(2020, 8, 17), datetime.date(2020, 8, 18), datetime.date(2020, 8, 22), datetime.date(2020, 8, 29), datetime.date(2020, 8, 30)]","[0.01694915254237288, 0.027190332326283987, 0.026133333333333335, 0.028533333333333334, 0.026933333333333333, 0.02877697841726619, 0.03434343434343434, 0.029066666666666668, 0.029466666666666665, 0.03213333333333333, 0.0256, 0.024258386470751316, 0.026415094339622643, 0.028533333333333334, 0.025466666666666665, 0.027192803107748926, 0.019733333333333332, 0.0264, 0.0212, 0.027333333333333334, 0.030266666666666667, 0.024, 0.029333333333333333, 0.027780181739506707, 0.029433406916850625, 0.025432835820895523]"
72,"('world',)","[datetime.date(2020, 7, 24), datetime.date(2020, 7, 25), datetime.date(2020, 7, 26), datetime.date(2020, 7, 27), datetime.date(2020, 7, 28), datetime.date(2020, 8, 1), datetime.date(2020, 8, 4), datetime.date(2020, 8, 6), datetime.date(2020, 8, 7), datetime.date(2020, 8, 8), datetime.date(2020, 8, 9), datetime.date(2020, 8, 10), datetime.date(2020, 8, 11), datetime.date(2020, 8, 12), datetime.date(2020, 8, 13), datetime.date(2020, 8, 14), datetime.date(2020, 8, 16), datetime.date(2020, 8, 17), datetime.date(2020, 8, 18), datetime.date(2020, 8, 22), datetime.date(2020, 8, 29), datetime.date(2020, 8, 30)]","[0.01694915254237288, 0.018660031988626265, 0.019333333333333334, 0.0196, 0.018533333333333332, 0.015466666666666667, 0.025466666666666665, 0.018020515663986693, 0.016037735849056604, 0.0188, 0.029866666666666666, 0.018196687793907176, 0.047066666666666666, 0.031466666666666664, 0.024266666666666666, 0.021733333333333334, 0.021866666666666666, 0.019333333333333334, 0.016266666666666665, 0.0210298572046733, 0.01839587932303164, 0.027820895522388058]"
73,"('kid',)","[datetime.date(2020, 7, 24), datetime.date(2020, 7, 31)]","[0.020338983050847456, 0.0172]"
74,"('last',)","[datetime.date(2020, 7, 24), datetime.date(2020, 7, 25), datetime.date(2020, 7, 26), datetime.date(2020, 7, 27), datetime.date(2020, 7, 28), datetime.date(2020, 7, 29), datetime.date(2020, 8, 4), datetime.date(2020, 8, 8), datetime.date(2020, 8, 9), datetime.date(2020, 8, 10), datetime.date(2020, 8, 12), datetime.date(2020, 8, 14), datetime.date(2020, 8, 16), datetime.date(2020, 8, 17), datetime.date(2020, 8, 18), datetime.date(2020, 8, 22), datetime.date(2020, 8, 30)]","[0.01694915254237288, 0.019430128546887034, 0.026133333333333335, 0.025466666666666665, 0.024533333333333334, 0.015827338129496403, 0.0248, 0.020666666666666667, 0.028666666666666667, 0.015129830300552035, 0.021733333333333334, 0.0232, 0.0268, 0.025866666666666666, 0.018133333333333335, 0.029251406317611424, 0.02961194029850746]"
75,"('contact',)","[datetime.date(2020, 7, 24)]",[0.020338983050847456]
76,"('via',)","[datetime.date(2020, 7, 24), datetime.date(2020, 7, 25), datetime.date(2020, 7, 27), datetime.date(2020, 8, 1), datetime.date(2020, 8, 6), datetime.date(2020, 8, 14)]","[0.023728813559322035, 0.01818612641431195, 0.016266666666666665, 0.0152, 0.018020515663986693, 0.0156]"
77,"('continu',)","[datetime.date(2020, 7, 24), datetime.date(2020, 7, 30), datetime.date(2020, 8, 7)]","[0.01694915254237288, 0.018686868686868686, 0.017924528301886792]"
78,"('could',)","[datetime.date(2020, 7, 24), datetime.date(2020, 7, 29), datetime.date(2020, 7, 30), datetime.date(2020, 8, 7)]","[0.01694915254237288, 0.015827338129496403, 0.015656565656565657, 0.017924528301886792]"
79,"('learn',)","[datetime.date(2020, 7, 24), datetime.date(2020, 7, 31), datetime.date(2020, 8, 7), datetime.date(2020, 8, 10)]","[0.020338983050847456, 0.020133333333333333, 0.016981132075471698, 0.015538744632999387]"
80,"('critic',)","[datetime.date(2020, 7, 24)]",[0.01694915254237288]
81,"('die',)","[datetime.date(2020, 7, 24), datetime.date(2020, 7, 29), datetime.date(2020, 7, 30), datetime.date(2020, 8, 16), datetime.date(2020, 8, 29), datetime.date(2020, 8, 30)]","[0.01694915254237288, 0.015467625899280576, 0.028282828282828285, 0.04186666666666667, 0.017169487368162865, 0.01946268656716418]"
82,"('right',)","[datetime.date(2020, 7, 24), datetime.date(2020, 8, 2)]","[0.020338983050847456, 0.016]"
83,"('total',)","[datetime.date(2020, 7, 24), datetime.date(2020, 7, 25), datetime.date(2020, 7, 26), datetime.date(2020, 7, 27), datetime.date(2020, 7, 28), datetime.date(2020, 8, 1), datetime.date(2020, 8, 2), datetime.date(2020, 8, 4), datetime.date(2020, 8, 6), datetime.date(2020, 8, 7), datetime.date(2020, 8, 8), datetime.date(2020, 8, 9), datetime.date(2020, 8, 10), datetime.date(2020, 8, 12), datetime.date(2020, 8, 13), datetime.date(2020, 8, 14), datetime.date(2020, 8, 16), datetime.date(2020, 8, 17), datetime.date(2020, 8, 18), datetime.date(2020, 8, 22), datetime.date(2020, 8, 29), datetime.date(2020, 8, 30)]","[0.020338983050847456, 0.029559860197855576, 0.0472, 0.02666666666666667, 0.0308, 0.021333333333333333, 0.022, 0.023733333333333332, 0.018436373717771, 0.01981132075471698, 0.03133333333333333, 0.028933333333333332, 0.02330811694949908, 0.026, 0.017333333333333333, 0.022266666666666667, 0.029733333333333334, 0.028533333333333334, 0.0156, 0.02916486369536997, 0.036546480255089525, 0.031761194029850746]"
84,"('hello',)","[datetime.date(2020, 7, 24)]",[0.020338983050847456]
85,"('children',)","[datetime.date(2020, 7, 24), datetime.date(2020, 8, 10)]","[0.023728813559322035, 0.023103659783275405]"
86,"('make',)","[datetime.date(2020, 7, 24), datetime.date(2020, 7, 25), datetime.date(2020, 7, 26), datetime.date(2020, 7, 27), datetime.date(2020, 7, 28), datetime.date(2020, 7, 29), datetime.date(2020, 7, 30), datetime.date(2020, 7, 31), datetime.date(2020, 8, 1), datetime.date(2020, 8, 2), datetime.date(2020, 8, 4), datetime.date(2020, 8, 6), datetime.date(2020, 8, 7), datetime.date(2020, 8, 8), datetime.date(2020, 8, 9), datetime.date(2020, 8, 10), datetime.date(2020, 8, 11), datetime.date(2020, 8, 12), datetime.date(2020, 8, 13), datetime.date(2020, 8, 14), datetime.date(2020, 8, 16), datetime.date(2020, 8, 17), datetime.date(2020, 8, 18), datetime.date(2020, 8, 22), datetime.date(2020, 8, 29), datetime.date(2020, 8, 30)]","[0.01694915254237288, 0.019074699366151294, 0.019066666666666666, 0.022933333333333333, 0.020533333333333334, 0.026258992805755395, 0.022727272727272728, 0.0216, 0.021466666666666665, 0.0224, 0.0168, 0.02134738009426116, 0.02358490566037736, 0.019066666666666666, 0.017866666666666666, 0.020241259456143936, 0.018266666666666667, 0.017866666666666666, 0.020266666666666665, 0.016933333333333335, 0.015066666666666667, 0.019866666666666668, 0.0208, 0.018952834270878408, 0.01741476575913662, 0.017194029850746268]"
87,"('covid', 'live')","[datetime.date(2020, 7, 24)]",[0.01694915254237288]
88,"('coronaviru', 'covid')","[datetime.date(2020, 7, 24), datetime.date(2020, 7, 25), datetime.date(2020, 7, 26), datetime.date(2020, 7, 27), datetime.date(2020, 7, 28), datetime.date(2020, 7, 29), datetime.date(2020, 7, 30), datetime.date(2020, 7, 31), datetime.date(2020, 8, 1), datetime.date(2020, 8, 2), datetime.date(2020, 8, 4), datetime.date(2020, 8, 6), datetime.date(2020, 8, 7), datetime.date(2020, 8, 8), datetime.date(2020, 8, 9), datetime.date(2020, 8, 10), datetime.date(2020, 8, 11), datetime.date(2020, 8, 12), datetime.date(2020, 8, 13), datetime.date(2020, 8, 14), datetime.date(2020, 8, 16), datetime.date(2020, 8, 17), datetime.date(2020, 8, 18), datetime.date(2020, 8, 22), datetime.date(2020, 8, 29), datetime.date(2020, 8, 30)]","[0.0576271186440678, 0.06125229548012558, 0.072, 0.066, 0.05946666666666667, 0.030575539568345324, 0.048484848484848485, 0.047733333333333336, 0.0496, 0.06186666666666667, 0.0552, 0.04505128915996673, 0.04716981132075472, 0.0592, 0.06786666666666667, 0.0445716622367614, 0.056, 0.0532, 0.05026666666666667, 0.06213333333333333, 0.06093333333333333, 0.066, 0.044, 0.060666378191259196, 0.05788570026980623, 0.06650746268656717]"
89,"('covid', 'pandem')","[datetime.date(2020, 7, 24), datetime.date(2020, 7, 25), datetime.date(2020, 7, 26), datetime.date(2020, 7, 27), datetime.date(2020, 7, 28), datetime.date(2020, 7, 29), datetime.date(2020, 7, 30), datetime.date(2020, 7, 31), datetime.date(2020, 8, 1), datetime.date(2020, 8, 2), datetime.date(2020, 8, 4), datetime.date(2020, 8, 6), datetime.date(2020, 8, 7), datetime.date(2020, 8, 8), datetime.date(2020, 8, 9), datetime.date(2020, 8, 10), datetime.date(2020, 8, 11), datetime.date(2020, 8, 12), datetime.date(2020, 8, 13), datetime.date(2020, 8, 14), datetime.date(2020, 8, 16), datetime.date(2020, 8, 17), datetime.date(2020, 8, 18), datetime.date(2020, 8, 22), datetime.date(2020, 8, 29), datetime.date(2020, 8, 30)]","[0.03728813559322034, 0.03074462413364137, 0.0268, 0.031466666666666664, 0.03266666666666666, 0.03633093525179856, 0.03636363636363636, 0.036533333333333334, 0.031733333333333336, 0.032266666666666666, 0.0332, 0.038952037704463545, 0.04339622641509434, 0.030133333333333335, 0.03186666666666667, 0.03905131874872214, 0.03333333333333333, 0.03253333333333333, 0.037066666666666664, 0.03373333333333333, 0.026266666666666667, 0.034, 0.037333333333333336, 0.03911726525313717, 0.035074809909246996, 0.03140298507462687]"
90,"('covid', 'trump')","[datetime.date(2020, 7, 24), datetime.date(2020, 7, 30), datetime.date(2020, 8, 4), datetime.date(2020, 8, 6), datetime.date(2020, 8, 16), datetime.date(2020, 8, 29)]","[0.023728813559322035, 0.022727272727272728, 0.015866666666666668, 0.01635708344884946, 0.0292, 0.015697817022320332]"
91,"('case', 'covid')","[datetime.date(2020, 7, 24), datetime.date(2020, 7, 25), datetime.date(2020, 7, 26), datetime.date(2020, 7, 27), datetime.date(2020, 7, 28), datetime.date(2020, 7, 29), datetime.date(2020, 7, 30), datetime.date(2020, 7, 31), datetime.date(2020, 8, 1), datetime.date(2020, 8, 2), datetime.date(2020, 8, 4), datetime.date(2020, 8, 6), datetime.date(2020, 8, 7), datetime.date(2020, 8, 8), datetime.date(2020, 8, 9), datetime.date(2020, 8, 10), datetime.date(2020, 8, 11), datetime.date(2020, 8, 12), datetime.date(2020, 8, 13), datetime.date(2020, 8, 14), datetime.date(2020, 8, 16), datetime.date(2020, 8, 17), datetime.date(2020, 8, 18), datetime.date(2020, 8, 22), datetime.date(2020, 8, 29), datetime.date(2020, 8, 30)]","[0.04067796610169491, 0.08749481665778094, 0.1168, 0.09786666666666667, 0.0772, 0.051798561151079135, 0.04595959595959596, 0.054, 0.06573333333333334, 0.06306666666666666, 0.0732, 0.068339340171888, 0.05471698113207547, 0.0852, 0.1004, 0.06706195052136578, 0.06213333333333333, 0.07826666666666666, 0.0656, 0.08426666666666667, 0.0916, 0.09013333333333333, 0.0656, 0.08766767633059282, 0.0799607554574442, 0.11008955223880597]"
92,"('covid', 'test')","[datetime.date(2020, 7, 24), datetime.date(2020, 7, 25), datetime.date(2020, 7, 26), datetime.date(2020, 7, 27), datetime.date(2020, 7, 28), datetime.date(2020, 7, 29), datetime.date(2020, 7, 30), datetime.date(2020, 7, 31), datetime.date(2020, 8, 1), datetime.date(2020, 8, 2), datetime.date(2020, 8, 4), datetime.date(2020, 8, 6), datetime.date(2020, 8, 7), datetime.date(2020, 8, 8), datetime.date(2020, 8, 9), datetime.date(2020, 8, 10), datetime.date(2020, 8, 11), datetime.date(2020, 8, 12), datetime.date(2020, 8, 13), datetime.date(2020, 8, 14), datetime.date(2020, 8, 16), datetime.date(2020, 8, 17), datetime.date(2020, 8, 18), datetime.date(2020, 8, 22), datetime.date(2020, 8, 29), datetime.date(2020, 8, 30)]","[0.01694915254237288, 0.0438362656240744, 0.03573333333333333, 0.038533333333333336, 0.038266666666666664, 0.05503597122302158, 0.031818181818181815, 0.03373333333333333, 0.04186666666666667, 0.04853333333333333, 0.0492, 0.04491266980870529, 0.048113207547169815, 0.043866666666666665, 0.0532, 0.03884686158249847, 0.025333333333333333, 0.03253333333333333, 0.038933333333333334, 0.032933333333333335, 0.03866666666666667, 0.0452, 0.03493333333333333, 0.03825183903072263, 0.03384841795437822, 0.033313432835820896]"
93,"('covid', 'death')","[datetime.date(2020, 7, 24), datetime.date(2020, 7, 25), datetime.date(2020, 7, 26), datetime.date(2020, 7, 27), datetime.date(2020, 7, 28), datetime.date(2020, 7, 29), datetime.date(2020, 7, 30), datetime.date(2020, 7, 31), datetime.date(2020, 8, 1), datetime.date(2020, 8, 2), datetime.date(2020, 8, 4), datetime.date(2020, 8, 6), datetime.date(2020, 8, 7), datetime.date(2020, 8, 8), datetime.date(2020, 8, 9), datetime.date(2020, 8, 10), datetime.date(2020, 8, 11), datetime.date(2020, 8, 12), datetime.date(2020, 8, 13), datetime.date(2020, 8, 14), datetime.date(2020, 8, 16), datetime.date(2020, 8, 17), datetime.date(2020, 8, 18), datetime.date(2020, 8, 22), datetime.date(2020, 8, 29), datetime.date(2020, 8, 30)]","[0.04406779661016949, 0.040637402997452755, 0.05853333333333333, 0.044533333333333334, 0.039733333333333336, 0.03381294964028777, 0.03535353535353535, 0.028533333333333334, 0.04053333333333333, 0.03693333333333333, 0.046266666666666664, 0.038536179650679236, 0.040566037735849055, 0.04413333333333333, 0.0484, 0.03721120425270906, 0.0224, 0.037866666666666667, 0.032933333333333335, 0.04426666666666667, 0.055733333333333336, 0.05053333333333333, 0.038533333333333336, 0.0430116832540026, 0.054942359578121165, 0.06388059701492538]"
94,"('covid', 'famili')","[datetime.date(2020, 7, 24)]",[0.01694915254237288]
95,"('covid', 'need')","[datetime.date(2020, 7, 24), datetime.date(2020, 7, 26), datetime.date(2020, 7, 27), datetime.date(2020, 7, 28), datetime.date(2020, 7, 29), datetime.date(2020, 7, 30), datetime.date(2020, 7, 31), datetime.date(2020, 8, 1), datetime.date(2020, 8, 2), datetime.date(2020, 8, 6), datetime.date(2020, 8, 7), datetime.date(2020, 8, 8), datetime.date(2020, 8, 10), datetime.date(2020, 8, 12), datetime.date(2020, 8, 22), datetime.date(2020, 8, 30)]","[0.03389830508474576, 0.016666666666666666, 0.017866666666666666, 0.016533333333333334, 0.02014388489208633, 0.01616161616161616, 0.0228, 0.0156, 0.015333333333333332, 0.023842528416967008, 0.02358490566037736, 0.0196, 0.021468002453485995, 0.0156, 0.015837299870186068, 0.016]"
96,"('back', 'covid')","[datetime.date(2020, 7, 24)]",[0.01694915254237288]
97,"('covid', 'go')","[datetime.date(2020, 7, 24), datetime.date(2020, 7, 30), datetime.date(2020, 8, 1), datetime.date(2020, 8, 6), datetime.date(2020, 8, 8), datetime.date(2020, 8, 9)]","[0.023728813559322035, 0.01616161616161616, 0.0164, 0.016218464097588023, 0.015066666666666667, 0.016]"
98,"('covid', 'realdonaldtrump')","[datetime.date(2020, 7, 24), datetime.date(2020, 7, 29), datetime.date(2020, 7, 30), datetime.date(2020, 8, 1), datetime.date(2020, 8, 4), datetime.date(2020, 8, 7), datetime.date(2020, 8, 16), datetime.date(2020, 8, 29)]","[0.023728813559322035, 0.017266187050359712, 0.03080808080808081, 0.018, 0.018533333333333332, 0.018867924528301886, 0.019733333333333332, 0.024282560706401765]"
99,"('covid', 'see')","[datetime.date(2020, 7, 24)]",[0.020338983050847456]
100,"('covid', 'week')","[datetime.date(2020, 7, 24)]",[0.020338983050847456]
101,"('covid', 'updat')","[datetime.date(2020, 7, 24), datetime.date(2020, 7, 25), datetime.date(2020, 7, 26), datetime.date(2020, 7, 27), datetime.date(2020, 7, 29), datetime.date(2020, 7, 31), datetime.date(2020, 8, 1), datetime.date(2020, 8, 2), datetime.date(2020, 8, 4), datetime.date(2020, 8, 6), datetime.date(2020, 8, 8), datetime.date(2020, 8, 9), datetime.date(2020, 8, 10), datetime.date(2020, 8, 12), datetime.date(2020, 8, 13), datetime.date(2020, 8, 14), datetime.date(2020, 8, 16), datetime.date(2020, 8, 17), datetime.date(2020, 8, 18), datetime.date(2020, 8, 22), datetime.date(2020, 8, 29), datetime.date(2020, 8, 30)]","[0.01694915254237288, 0.020733368876251407, 0.0232, 0.024533333333333334, 0.02014388489208633, 0.020266666666666665, 0.0176, 0.0184, 0.017866666666666666, 0.020099805932908235, 0.018533333333333332, 0.016666666666666666, 0.015129830300552035, 0.015466666666666667, 0.015733333333333332, 0.022, 0.018666666666666668, 0.022266666666666667, 0.024533333333333334, 0.01947209000432713, 0.020358106450821683, 0.03044776119402985]"
102,"('alert', 'coronaviru')","[datetime.date(2020, 7, 24)]",[0.01694915254237288]
103,"('alert', 'global')","[datetime.date(2020, 7, 24)]",[0.020338983050847456]
104,"('alert', 'news')","[datetime.date(2020, 7, 24)]",[0.01694915254237288]
105,"('alert', 'pandem')","[datetime.date(2020, 7, 24)]",[0.01694915254237288]
106,"('coronaviru', 'global')","[datetime.date(2020, 7, 24)]",[0.01694915254237288]
107,"('coronaviru', 'pandem')","[datetime.date(2020, 7, 24)]",[0.020338983050847456]
108,"('covid', 'news')","[datetime.date(2020, 7, 24), datetime.date(2020, 8, 11), datetime.date(2020, 8, 29)]","[0.01694915254237288, 0.0172, 0.015943095413294087]"
109,"('global', 'news')","[datetime.date(2020, 7, 24)]",[0.01694915254237288]
110,"('global', 'pandem')","[datetime.date(2020, 7, 24)]",[0.01694915254237288]
111,"('news', 'pandem')","[datetime.date(2020, 7, 24)]",[0.020338983050847456]
112,"('covid', 'first')","[datetime.date(2020, 7, 24), datetime.date(2020, 8, 11)]","[0.020338983050847456, 0.052]"
113,"('covid', 'month')","[datetime.date(2020, 7, 24)]",[0.01694915254237288]
114,"('covid', 'time')","[datetime.date(2020, 7, 24), datetime.date(2020, 7, 25), datetime.date(2020, 7, 30), datetime.date(2020, 7, 31), datetime.date(2020, 8, 4), datetime.date(2020, 8, 12), datetime.date(2020, 8, 13), datetime.date(2020, 8, 14), datetime.date(2020, 8, 17), datetime.date(2020, 8, 18), datetime.date(2020, 8, 22), datetime.date(2020, 8, 29), datetime.date(2020, 8, 30)]","[0.01694915254237288, 0.015401931165215332, 0.017676767676767676, 0.015466666666666667, 0.0168, 0.018133333333333335, 0.016133333333333333, 0.0152, 0.018133333333333335, 0.015066666666666667, 0.016010385114668974, 0.016188373804267846, 0.015761194029850746]"
115,"('covid', 'spread')","[datetime.date(2020, 7, 24), datetime.date(2020, 7, 25), datetime.date(2020, 7, 31), datetime.date(2020, 8, 1), datetime.date(2020, 8, 2), datetime.date(2020, 8, 4), datetime.date(2020, 8, 7), datetime.date(2020, 8, 8), datetime.date(2020, 8, 9), datetime.date(2020, 8, 10), datetime.date(2020, 8, 22), datetime.date(2020, 8, 30)]","[0.02711864406779661, 0.01771222083999763, 0.0204, 0.017333333333333333, 0.0156, 0.0152, 0.016981132075471698, 0.021733333333333334, 0.0156, 0.015129830300552035, 0.01947209000432713, 0.018746268656716417]"
116,"('covid', 'today')","[datetime.date(2020, 7, 24), datetime.date(2020, 7, 25), datetime.date(2020, 7, 26), datetime.date(2020, 7, 27), datetime.date(2020, 7, 29), datetime.date(2020, 7, 30), datetime.date(2020, 7, 31), datetime.date(2020, 8, 1), datetime.date(2020, 8, 2), datetime.date(2020, 8, 6), datetime.date(2020, 8, 7), datetime.date(2020, 8, 8), datetime.date(2020, 8, 9), datetime.date(2020, 8, 10), datetime.date(2020, 8, 12), datetime.date(2020, 8, 13), datetime.date(2020, 8, 17), datetime.date(2020, 8, 18), datetime.date(2020, 8, 29)]","[0.020338983050847456, 0.01593507493631894, 0.018933333333333333, 0.0168, 0.02050359712230216, 0.029292929292929294, 0.023333333333333334, 0.0228, 0.015333333333333332, 0.02550596063210424, 0.018867924528301886, 0.025866666666666666, 0.016666666666666666, 0.02596606011040687, 0.017333333333333333, 0.016666666666666666, 0.016133333333333333, 0.023333333333333334, 0.019867549668874173]"
117,"('covid', 'day')","[datetime.date(2020, 7, 24), datetime.date(2020, 7, 25), datetime.date(2020, 7, 26), datetime.date(2020, 7, 27), datetime.date(2020, 7, 28), datetime.date(2020, 7, 29), datetime.date(2020, 7, 30), datetime.date(2020, 7, 31), datetime.date(2020, 8, 1), datetime.date(2020, 8, 2), datetime.date(2020, 8, 4), datetime.date(2020, 8, 6), datetime.date(2020, 8, 8), datetime.date(2020, 8, 9), datetime.date(2020, 8, 11), datetime.date(2020, 8, 12), datetime.date(2020, 8, 13), datetime.date(2020, 8, 14), datetime.date(2020, 8, 16), datetime.date(2020, 8, 17), datetime.date(2020, 8, 18), datetime.date(2020, 8, 22), datetime.date(2020, 8, 29), datetime.date(2020, 8, 30)]","[0.020338983050847456, 0.028315858065280492, 0.028133333333333333, 0.0348, 0.025333333333333333, 0.015827338129496403, 0.017676767676767676, 0.0168, 0.0212, 0.018666666666666668, 0.0212, 0.017466038258940948, 0.0168, 0.046533333333333336, 0.0208, 0.022133333333333335, 0.0228, 0.0244, 0.019866666666666668, 0.018933333333333333, 0.016266666666666665, 0.025962786672436174, 0.019867549668874173, 0.027343283582089553]"
118,"('covid', 'get')","[datetime.date(2020, 7, 24), datetime.date(2020, 7, 25), datetime.date(2020, 7, 26), datetime.date(2020, 7, 27), datetime.date(2020, 7, 28), datetime.date(2020, 7, 29), datetime.date(2020, 7, 30), datetime.date(2020, 7, 31), datetime.date(2020, 8, 1), datetime.date(2020, 8, 2), datetime.date(2020, 8, 4), datetime.date(2020, 8, 6), datetime.date(2020, 8, 7), datetime.date(2020, 8, 8), datetime.date(2020, 8, 10), datetime.date(2020, 8, 11), datetime.date(2020, 8, 13), datetime.date(2020, 8, 14), datetime.date(2020, 8, 16), datetime.date(2020, 8, 17), datetime.date(2020, 8, 18), datetime.date(2020, 8, 22), datetime.date(2020, 8, 29), datetime.date(2020, 8, 30)]","[0.020338983050847456, 0.018778508382204847, 0.015733333333333332, 0.015733333333333332, 0.0204, 0.018345323741007193, 0.023737373737373738, 0.02, 0.022, 0.0212, 0.019866666666666668, 0.018990851122816746, 0.01509433962264151, 0.021066666666666668, 0.02167245961970967, 0.016933333333333335, 0.018133333333333335, 0.016666666666666666, 0.0164, 0.017866666666666666, 0.016533333333333334, 0.018000865426222413, 0.017660044150110375, 0.017432835820895522]"
119,"('mask', 'wear')","[datetime.date(2020, 7, 24), datetime.date(2020, 7, 25), datetime.date(2020, 7, 26), datetime.date(2020, 7, 27), datetime.date(2020, 7, 29), datetime.date(2020, 7, 30), datetime.date(2020, 8, 1), datetime.date(2020, 8, 2), datetime.date(2020, 8, 7), datetime.date(2020, 8, 8), datetime.date(2020, 8, 29)]","[0.02711864406779661, 0.01741602985605118, 0.0172, 0.018666666666666668, 0.02446043165467626, 0.026767676767676767, 0.0164, 0.017466666666666665, 0.016037735849056604, 0.016266666666666665, 0.015943095413294087]"
120,"('covid', 'health')","[datetime.date(2020, 7, 24), datetime.date(2020, 7, 25), datetime.date(2020, 7, 26), datetime.date(2020, 7, 28), datetime.date(2020, 7, 29), datetime.date(2020, 7, 30), datetime.date(2020, 7, 31), datetime.date(2020, 8, 6), datetime.date(2020, 8, 7), datetime.date(2020, 8, 8), datetime.date(2020, 8, 11), datetime.date(2020, 8, 12), datetime.date(2020, 8, 13), datetime.date(2020, 8, 14), datetime.date(2020, 8, 16), datetime.date(2020, 8, 17), datetime.date(2020, 8, 18), datetime.date(2020, 8, 22), datetime.date(2020, 8, 29)]","[0.023728813559322035, 0.01783069723357621, 0.015466666666666667, 0.016666666666666666, 0.01762589928057554, 0.015656565656565657, 0.0216, 0.020931522040476852, 0.018867924528301886, 0.0168, 0.018666666666666668, 0.0172, 0.018266666666666667, 0.015866666666666668, 0.0164, 0.016133333333333333, 0.022266666666666667, 0.01505841627001298, 0.017169487368162865]"
121,"('covid', 'school')","[datetime.date(2020, 7, 24), datetime.date(2020, 8, 10), datetime.date(2020, 8, 13)]","[0.020338983050847456, 0.01533428746677571, 0.023866666666666668]"
122,"('death', 'new')","[datetime.date(2020, 7, 24), datetime.date(2020, 7, 25), datetime.date(2020, 7, 26), datetime.date(2020, 8, 1), datetime.date(2020, 8, 6), datetime.date(2020, 8, 8), datetime.date(2020, 8, 10), datetime.date(2020, 8, 17), datetime.date(2020, 8, 29), datetime.date(2020, 8, 30)]","[0.01694915254237288, 0.015461169362004621, 0.022, 0.0156, 0.016218464097588023, 0.016133333333333333, 0.01901451645880188, 0.0152, 0.029433406916850625, 0.025671641791044777]"
